R1,R2,C1,High,Low,Relative Closeness (High),Relative Closeness (Low)
47000,220000,2.7µF,0.4995837,0.411642,0.0008325999999999611,0.17671599999999998
3300,150000,4.7µF,0.49931342999999995,0.4885649999999999,0.001373140000000106,0.022870000000000168
10000,470000,1.5µF,0.49896,0.488565,0.0020799999999999708,0.022869999999999946
33000,330000,2.0µF,0.503118,0.4573799999999999,0.006235999999999908,0.0852400000000002
22000,220000,3.0µF,0.5031180000000001,0.45738,0.00623600000000013,0.08523999999999998
10,330000,2.2µF,0.503133246,0.503118,0.006266491999999957,0.006235999999999908
10,220000,3.3µF,0.503140869,0.503118,0.006281737999999981,0.006235999999999908
15,330000,2.2µF,0.503140869,0.503118,0.006281737999999981,0.006235999999999908
22,330000,2.2µF,0.5031515411999999,0.503118,0.006303082399999882,0.006235999999999908
15,220000,3.3µF,0.5031523035,0.503118,0.006304606999999907,0.006235999999999908
22,220000,3.3µF,0.5031683117999999,0.503118,0.006336623599999758,0.006235999999999908
33,330000,2.2µF,0.5031683118,0.503118,0.00633662359999998,0.006235999999999908
47,330000,2.2µF,0.5031896562,0.503118,0.0063793124000000034,0.006235999999999908
33,220000,3.3µF,0.5031934676999998,0.503118,0.0063869353999996825,0.006235999999999908
68,330000,2.2µF,0.5032216728,0.503118,0.006443345599999928,0.006235999999999908
47,220000,3.3µF,0.5032254842999999,0.503118,0.006450968599999829,0.006235999999999908
100,330000,2.2µF,0.50327046,0.503118,0.00654091999999995,0.006235999999999908
68,220000,3.3µF,0.5032735091999999,0.503118,0.006547018399999827,0.006235999999999908
6800,100000,6.8µF,0.5032843199999999,0.47123999999999994,0.006568639999999792,0.05752000000000013
100,220000,3.3µF,0.5033466899999999,0.503118,0.006693379999999749,0.006235999999999908
150,330000,2.2µF,0.50334669,0.503118,0.006693379999999971,0.006235999999999908
220,330000,2.2µF,0.503453412,0.503118,0.006906824000000089,0.006235999999999908
150,220000,3.3µF,0.503461035,0.503118,0.006922069999999891,0.006235999999999908
68000,330000,1.8µF,0.4964652,0.41164199999999995,0.007069600000000009,0.1767160000000001
220,220000,3.3µF,0.503621118,0.503118,0.0072422359999999575,0.006235999999999908
330,330000,2.2µF,0.503621118,0.503118,0.0072422359999999575,0.006235999999999908
47000,680000,1.0µF,0.5038109999999999,0.47123999999999994,0.007621999999999796,0.05752000000000013
470,330000,2.2µF,0.503834562,0.503118,0.007669123999999972,0.006235999999999908
330,220000,3.3µF,0.5038726769999999,0.503118,0.007745353999999871,0.006235999999999908
4700,150000,4.7µF,0.50387337,0.4885649999999999,0.007746739999999974,0.022870000000000168
680,330000,2.2µF,0.504154728,0.503118,0.008309456000000104,0.006235999999999908
15000,470000,1.5µF,0.5041575,0.488565,0.008315000000000072,0.022869999999999946
470,220000,3.3µF,0.5041928429999999,0.503118,0.008385685999999781,0.006235999999999908
2200,150000,4.7µF,0.49573061999999996,0.4885649999999999,0.00853876000000009,0.022870000000000168
6800,470000,1.5µF,0.49563359999999995,0.488565,0.008732800000000096,0.022869999999999946
1000,330000,2.2µF,0.5046425999999999,0.503118,0.009285199999999882,0.006235999999999908
680,220000,3.3µF,0.5046730919999999,0.503118,0.009346183999999758,0.006235999999999908
1000,220000,3.3µF,0.5054048999999999,0.503118,0.01080979999999987,0.006235999999999908
